Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"EC Legacy Regression Testing, OPSUI(eSOA Enhancement)",Chrome 130.0.0.0,,,31-10-2024 10:27:59,31-10-2024 10:29:22,1m - 22.904s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyLoginAndHospitalAndUser,Chrome 130.0.0.0,,,31-10-2024 10:27:59,31-10-2024 10:28:37,38.148s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,31-10-2024 10:28:00,31-10-2024 10:28:02,1.725s,PASSED
navigateToUrl(NavigateLoginPage),Chrome 130.0.0.0,,,31-10-2024 10:28:02,31-10-2024 10:28:04,2.087s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,31-10-2024 10:28:04,31-10-2024 10:28:04,0.059s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Username_Username""), Username)",Chrome 130.0.0.0,,,31-10-2024 10:28:04,31-10-2024 10:28:05,0.682s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), Password)",Chrome 130.0.0.0,,,31-10-2024 10:28:05,31-10-2024 10:28:05,0.557s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), Keys.chord(ENTER))",Chrome 130.0.0.0,,,31-10-2024 10:28:05,31-10-2024 10:28:06,0.445s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Connect - Easy Claims/span_Control Panel""))",Chrome 130.0.0.0,,,31-10-2024 10:28:06,31-10-2024 10:28:09,3.464s,PASSED
navigateToUrl(NavigateControlPanel),Chrome 130.0.0.0,,,31-10-2024 10:28:09,31-10-2024 10:28:10,0.628s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/span_Hospital Information (offline mode)""))",Chrome 130.0.0.0,,,31-10-2024 10:28:10,31-10-2024 10:28:12,2.260s,PASSED
